"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idGenotype","idPotManip","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","idWatering","Time","Exact_Time_min"
4111,"126",104.020833333333,0.0208333333,0.00304112005161943,8,103.89587962963,104.12505787037,4568.71711258485,0.665639823319865,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.887787878787879,0.749773497953905,1.29566735347985,"WW",0.6875,990
4112,"126",104.041666666667,0.0416666667,0.00307134105005329,8,103.916712962963,104.166724537037,4574.41004323046,0.671417957950332,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.891555555555556,0.753085944859545,1.29321581196581,"WW",0.708333333333343,1020
4113,"126",104.0625,0.0625,0.00308987780004574,7,103.93755787037,104.166724537037,4577.25635042509,0.675050196775365,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889909090909091,0.758560850396262,1.29207003314146,"WW",0.729166666666671,1050
4114,"126",104.083333333333,0.0833333333,0.00313616518862114,7,103.958391203704,104.208391203704,4584.08748769219,0.684141652409869,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.887416666666667,0.770936222078921,1.28920068027211,"WW",0.75,1080
4115,"126",104.104166666667,0.1041666667,0.00313495367617024,6,104.00005787037,104.208391203704,4587.50305632575,0.683368193476715,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.891466666666667,0.766566175751625,1.28764753764754,"WW",0.770833333333343,1110
4116,"126",104.125,0.125,0.0031747133120987,7,104.00005787037,104.25005787037,4590.9186249593,0.691520275449631,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.890277777777778,0.776746643250756,1.28604351997209,"WW",0.791666666666671,1140
4117,"126",104.145833333333,0.1458333333,0.0032124904731079,6,104.041724537037,104.25005787037,4594.33419359285,0.699228732117041,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886766666666667,0.788514902962494,1.28450345950346,"WW",0.8125,1170
4118,"126",104.166666666667,0.1666666667,0.00327108362079178,7,104.041724537037,104.291724537037,4597.7497622264,0.711453165125673,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886027777777778,0.802969368420987,1.28283621140764,"WW",0.833333333333343,1200
4119,"126",104.1875,0.1875,0.00338410049311094,8,104.083391203704,104.31255787037,4607.14194345596,0.734533586037599,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.889181818181818,0.826078054024495,1.27876984126984,"WW",0.854166666666671,1230
4120,"126",104.208333333333,0.2083333333,0.00342631967655154,10,104.083391203704,104.333391203704,4610.98461629689,0.743077663812126,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.888333333333333,0.836485175023031,1.27691086691087,"WW",0.875,1260
4121,"126",104.229166666667,0.2291666667,0.00348769067859101,9,104.12505787037,104.333391203704,4613.85118648797,0.755917461925298,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886366666666667,0.852827041395921,1.27553927553928,"WW",0.895833333333343,1290
4122,"126",104.25,0.25,0.0035627150083644,8,104.166724537037,104.333391203704,4616.53475719823,0.771729272222919,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.883166666666667,0.873820651696077,1.27421016483516,"WW",0.916666666666671,1320
4123,"126",104.270833333333,0.2708333333,0.00363742925083834,7,104.208391203704,104.333391203704,4618.92552873918,0.787505498455448,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.886166666666667,0.888665223007841,1.27294392115821,"WW",0.9375,1350
